       Step     Time          Energy         fmax
MDMin:    0 13:19:22     9854.770639        6.6280
MDMin:    1 13:19:27     9775.338729        2.8845
MDMin:    2 13:19:31     9707.256030        1.5081
MDMin:    3 13:19:35     9690.902238        1.1648
MDMin:    4 13:19:39     9680.613075        1.0100
MDMin:    5 13:19:44     9676.167640        1.4356
MDMin:    6 13:19:50     9674.103962        0.3971
MDMin:    7 13:19:55     9672.578026        0.2908
MDMin:    8 13:20:01     9671.104234        0.2877
MDMin:    9 13:20:06     9670.231922        0.3858
MDMin:   10 13:20:12     9669.707084        0.2081
MDMin:   11 13:20:18     9669.330757        0.1790
MDMin:   12 13:20:24     9668.871756        0.3189
MDMin:   13 13:20:30     9668.494925        0.5704
MDMin:   14 13:20:36     9668.295438        0.6622
MDMin:   15 13:20:44     9668.189214        0.1999
MDMin:   16 13:20:50     9668.037394        0.1474
MDMin:   17 13:20:56     9667.851965        0.3087
MDMin:   18 13:21:03     9667.702221        0.5063
MDMin:   19 13:21:10     9667.604311        0.4045
MDMin:   20 13:21:16     9667.542599        0.1002
MDMin:   21 13:21:24     9667.459002        0.1285
MDMin:   22 13:21:31     9667.351091        0.1491
MDMin:   23 13:21:38     9667.260521        0.5676
MDMin:   24 13:21:45     9667.210808        0.3793
MDMin:   25 13:21:52     9667.184328        0.1163
MDMin:   26 13:22:00     9667.144452        0.1513
MDMin:   27 13:22:07     9667.096692        0.1741
MDMin:   28 13:22:15     9667.058771        0.3866
MDMin:   29 13:22:23     9667.030559        0.1437
MDMin:   30 13:22:31     9667.009262        0.1071
MDMin:   31 13:22:40     9666.981778        0.0877
MDMin:   32 13:22:50     9666.952157        0.2277
MDMin:   33 13:22:58     9666.932427        0.2720
MDMin:   34 13:23:05     9666.916646        0.0523
MDMin:   35 13:23:12     9666.900338        0.0386
