       Step     Time          Energy         fmax
MDMin:    0 13:23:15       94.040696        4.3905
MDMin:    1 13:23:17       84.209937        2.4616
MDMin:    2 13:23:20       66.399917        1.7820
MDMin:    3 13:23:23       49.521557        1.1780
MDMin:    4 13:23:25       36.292285        1.0389
MDMin:    5 13:23:28       30.922419        2.2964
MDMin:    6 13:23:31       28.127572        0.9219
MDMin:    7 13:23:34       26.411465        0.9776
MDMin:    8 13:23:36       25.505226        0.4276
MDMin:    9 13:23:39       24.623636        0.3730
MDMin:   10 13:23:42       23.793890        0.5852
MDMin:   11 13:23:45       23.640760        1.3281
MDMin:   12 13:23:48       23.338450        0.5314
MDMin:   13 13:23:51       23.213817        0.6334
MDMin:   14 13:23:53       23.117550        0.3033
MDMin:   15 13:23:57       23.028079        0.3350
MDMin:   16 13:24:00       22.966838        0.1926
MDMin:   17 13:24:03       22.918501        0.1822
MDMin:   18 13:24:06       22.874504        0.2135
MDMin:   19 13:24:09       22.845754        0.2899
MDMin:   20 13:24:12       22.824806        0.0956
MDMin:   21 13:24:16       22.806177        0.1013
MDMin:   22 13:24:19       22.786977        0.1572
MDMin:   23 13:24:22       22.776792        0.2512
MDMin:   24 13:24:25       22.767948        0.0624
MDMin:   25 13:24:29       22.759011        0.0547
MDMin:   26 13:24:32       22.748049        0.0651
MDMin:   27 13:24:35       22.741929        0.2055
MDMin:   28 13:24:39       22.736548        0.0479
