       Step     Time          Energy         fmax
MDMin:    0 13:56:37    -8731.489791        0.8909
MDMin:    1 13:56:42    -8732.345002        0.6158
MDMin:    2 13:56:47    -8733.872491        0.1874
MDMin:    3 13:56:52    -8734.897152        0.1397
MDMin:    4 13:56:58    -8735.136302        0.4487
MDMin:    5 13:57:03    -8735.344928        0.1978
MDMin:    6 13:57:08    -8735.448594        0.2110
MDMin:    7 13:57:13    -8735.504013        0.1008
MDMin:    8 13:57:18    -8735.571142        0.0782
MDMin:    9 13:57:24    -8735.624011        0.0860
MDMin:   10 13:57:29    -8735.666952        0.0765
MDMin:   11 13:57:34    -8735.701227        0.0804
MDMin:   12 13:57:39    -8735.729030        0.0648
MDMin:   13 13:57:45    -8735.752810        0.0643
MDMin:   14 13:57:50    -8735.773418        0.0633
MDMin:   15 13:57:55    -8735.790523        0.0613
MDMin:   16 13:58:00    -8735.804768        0.0505
MDMin:   17 13:58:05    -8735.817357        0.0464
