       Step     Time          Energy         fmax
MDMin:    0 13:58:11    -2186.059693        0.3486
MDMin:    1 13:58:16    -2186.592750        0.2701
MDMin:    2 13:58:21    -2187.644699        0.2143
MDMin:    3 13:58:26    -2188.706198        0.1918
MDMin:    4 13:58:32    -2189.573270        0.5588
MDMin:    5 13:58:37    -2189.877530        0.8383
MDMin:    6 13:58:42    -2190.138107        0.3829
MDMin:    7 13:58:47    -2190.412839        0.3169
MDMin:    8 13:58:52    -2190.633227        0.2585
MDMin:    9 13:58:58    -2190.842002        0.2221
MDMin:   10 13:59:03    -2191.046128        0.3040
MDMin:   11 13:59:08    -2191.212443        0.2984
MDMin:   12 13:59:13    -2191.348267        0.2005
MDMin:   13 13:59:19    -2191.475343        0.1646
MDMin:   14 13:59:24    -2191.609415        0.2118
MDMin:   15 13:59:29    -2191.721787        0.2469
MDMin:   16 13:59:34    -2191.812900        0.1583
MDMin:   17 13:59:40    -2191.892925        0.1143
MDMin:   18 13:59:45    -2191.981711        0.1369
MDMin:   19 13:59:50    -2192.061354        0.1872
MDMin:   20 13:59:55    -2192.124383        0.1697
MDMin:   21 14:00:01    -2192.176324        0.0942
MDMin:   22 14:00:06    -2192.234626        0.1302
MDMin:   23 14:00:11    -2192.293845        0.1966
MDMin:   24 14:00:16    -2192.338138        0.2364
MDMin:   25 14:00:22    -2192.374698        0.0845
MDMin:   26 14:00:27    -2192.413358        0.1065
MDMin:   27 14:00:32    -2192.458991        0.1770
MDMin:   28 14:00:37    -2192.491256        0.3007
MDMin:   29 14:00:43    -2192.519816        0.0796
MDMin:   30 14:00:48    -2192.545062        0.0874
MDMin:   31 14:00:53    -2192.577816        0.1436
MDMin:   32 14:00:59    -2192.602684        0.2966
MDMin:   33 14:01:04    -2192.623791        0.1170
MDMin:   34 14:01:09    -2192.638989        0.0760
MDMin:   35 14:01:14    -2192.659641        0.0982
MDMin:   36 14:01:20    -2192.680116        0.2147
MDMin:   37 14:01:25    -2192.694043        0.2066
MDMin:   38 14:01:30    -2192.705316        0.0346
