       Step     Time          Energy         fmax
MDMin:    0 14:03:01    -8672.156048        0.3928
MDMin:    1 14:03:07    -8672.332147        0.3293
MDMin:    2 14:03:13    -8672.618243        0.1447
MDMin:    3 14:03:18    -8672.793538        0.1842
MDMin:    4 14:03:24    -8672.826547        0.4315
MDMin:    5 14:03:30    -8672.881060        0.0845
MDMin:    6 14:03:35    -8672.916092        0.1486
MDMin:    7 14:03:41    -8672.940876        0.1365
MDMin:    8 14:03:46    -8672.958524        0.1066
MDMin:    9 14:03:52    -8672.976293        0.1591
MDMin:   10 14:03:58    -8672.990167        0.2488
MDMin:   11 14:04:03    -8673.003010        0.1606
MDMin:   12 14:04:09    -8673.012921        0.1067
MDMin:   13 14:04:15    -8673.023974        0.1677
MDMin:   14 14:04:20    -8673.032677        0.2549
MDMin:   15 14:04:26    -8673.041428        0.1546
MDMin:   16 14:04:31    -8673.048153        0.0950
MDMin:   17 14:04:37    -8673.056053        0.1513
MDMin:   18 14:04:43    -8673.062314        0.2425
MDMin:   19 14:04:48    -8673.068740        0.1482
MDMin:   20 14:04:54    -8673.073604        0.0793
MDMin:   21 14:05:00    -8673.079544        0.1267
MDMin:   22 14:05:05    -8673.084413        0.2240
MDMin:   23 14:05:11    -8673.089245        0.1512
MDMin:   24 14:05:17    -8673.092921        0.0593
MDMin:   25 14:05:22    -8673.097561        0.0951
MDMin:   26 14:05:28    -8673.101782        0.2008
MDMin:   27 14:05:34    -8673.105284        0.1745
MDMin:   28 14:05:39    -8673.108343        0.0482
