       Step     Time          Energy         fmax
MDMin:    0 19:55:41   -21627.680560        1.9742
MDMin:    1 19:56:18   -21662.310669        1.7516
MDMin:    2 19:56:55   -21739.071858        0.9923
MDMin:    3 19:57:33   -21825.142672        0.6965
MDMin:    4 19:58:11   -21912.583446        0.7856
MDMin:    5 19:58:49   -21995.428859        0.9417
MDMin:    6 19:59:26   -22033.127977        2.5507
MDMin:    7 20:00:04   -22064.821678        1.7206
MDMin:    8 20:00:42   -22089.076490        0.5131
MDMin:    9 20:01:20   -22108.722477        0.8157
MDMin:   10 20:01:58   -22127.806993        0.5279
MDMin:   11 20:02:36   -22146.639581        1.0277
MDMin:   12 20:03:13   -22163.749768        0.8132
MDMin:   13 20:03:52   -22178.897338        1.0034
MDMin:   14 20:04:30   -22193.324023        0.6032
MDMin:   15 20:05:08   -22208.238802        0.9744
MDMin:   16 20:05:45   -22222.873078        0.8517
MDMin:   17 20:06:23   -22235.996055        1.1098
MDMin:   18 20:07:01   -22247.865814        0.6304
MDMin:   19 20:07:39   -22259.796731        0.8446
MDMin:   20 20:08:17   -22272.297004        0.6980
MDMin:   21 20:08:54   -22284.164686        1.0683
MDMin:   22 20:09:32   -22294.682205        0.6846
MDMin:   23 20:10:10   -22304.524985        0.7500
MDMin:   24 20:10:48   -22314.887601        0.5166
MDMin:   25 20:11:25   -22325.564678        0.8796
MDMin:   26 20:12:03   -22335.279550        0.6905
MDMin:   27 20:12:41   -22343.938287        0.7107
MDMin:   28 20:13:18   -22352.461471        0.3871
MDMin:   29 20:13:56   -22361.672085        0.6628
MDMin:   30 20:14:34   -22370.713711        0.5605
MDMin:   31 20:15:11   -22378.709482        0.6936
MDMin:   32 20:15:49   -22385.995183        0.3322
MDMin:   33 20:16:26   -22393.637562        0.4889
MDMin:   34 20:17:04   -22401.797482        0.3742
MDMin:   35 20:17:42   -22409.345284        0.6071
MDMin:   36 20:18:20   -22415.975462        0.3438
MDMin:   37 20:18:58   -22422.327232        0.3745
MDMin:   38 20:19:36   -22429.297892        0.3182
MDMin:   39 20:20:14   -22436.365066        0.4471
MDMin:   40 20:20:51   -22442.593531        0.3895
MDMin:   41 20:21:29   -22448.166017        0.3055
MDMin:   42 20:22:07   -22453.936254        0.2799
MDMin:   43 20:22:45   -22460.282053        0.3562
MDMin:   44 20:23:23   -22466.221665        0.3987
MDMin:   45 20:24:00   -22471.390174        0.3516
MDMin:   46 20:24:38   -22476.225978        0.2615
MDMin:   47 20:25:15   -22481.599398        0.3106
MDMin:   48 20:25:53   -22487.183608        0.3560
MDMin:   49 20:26:31   -22492.087954        0.4201
MDMin:   50 20:27:09   -22496.416228        0.2810
MDMin:   51 20:27:47   -22500.852601        0.2892
MDMin:   52 20:28:25   -22505.848705        0.3159
MDMin:   53 20:29:02   -22510.569378        0.4457
MDMin:   54 20:29:40   -22514.632062        0.3293
MDMin:   55 20:30:18   -22518.365547        0.2814
MDMin:   56 20:30:56   -22522.561664        0.2687
MDMin:   57 20:31:34   -22527.024853        0.4003
MDMin:   58 20:32:11   -22530.911075        0.3771
MDMin:   59 20:32:48   -22534.305781        0.2965
MDMin:   60 20:33:25   -22537.748893        0.2353
MDMin:   61 20:34:02   -22541.721153        0.3324
MDMin:   62 20:34:39   -22545.493212        0.3674
MDMin:   63 20:35:16   -22548.701729        0.3543
MDMin:   64 20:35:53   -22551.595954        0.2206
MDMin:   65 20:36:30   -22554.892147        0.2679
MDMin:   66 20:37:07   -22558.475093        0.3083
MDMin:   67 20:37:44   -22561.562921        0.4099
MDMin:   68 20:38:21   -22564.232635        0.2286
MDMin:   69 20:38:58   -22566.909066        0.2285
MDMin:   70 20:39:35   -22570.072118        0.2460
MDMin:   71 20:40:12   -22573.094725        0.3873
MDMin:   72 20:40:49   -22575.628715        0.2723
MDMin:   73 20:41:27   -22577.872230        0.2095
MDMin:   74 20:42:04   -22580.460557        0.1914
MDMin:   75 20:42:41   -22583.348128        0.3086
MDMin:   76 20:43:18   -22585.805296        0.3068
MDMin:   77 20:43:55   -22587.913112        0.2192
MDMin:   78 20:44:32   -22589.988224        0.1614
MDMin:   79 20:45:09   -22592.506338        0.2360
MDMin:   80 20:45:46   -22594.933704        0.2782
       Step     Time          Energy         fmax
MDMin:    0 21:23:50   -22594.933704        0.2782
MDMin:    1 21:24:28   -22595.871744        0.1480
MDMin:    2 21:25:06   -22597.757079        0.1478
MDMin:    3 21:25:45   -22600.267911        0.1765
MDMin:    4 21:26:23   -22602.669898        0.3410
MDMin:    5 21:27:01   -22604.508100        0.2391
MDMin:    6 21:27:39   -22605.983815        0.1187
MDMin:    7 21:28:18   -22607.854911        0.1113
MDMin:    8 21:28:56   -22610.292849        0.2006
MDMin:    9 21:29:35   -22612.305987        0.2993
MDMin:   10 21:30:13   -22613.945870        0.1851
MDMin:   11 21:30:51   -22615.209813        0.0973
MDMin:   12 21:31:29   -22616.961903        0.1280
MDMin:   13 21:32:07   -22619.032174        0.1871
MDMin:   14 21:32:45   -22620.560979        0.2992
MDMin:   15 21:33:23   -22621.898953        0.0921
MDMin:   16 21:34:01   -22623.202292        0.0954
MDMin:   17 21:34:39   -22625.005373        0.1267
MDMin:   18 21:35:17   -22626.713016        0.2521
MDMin:   19 21:35:56   -22627.959377        0.1962
MDMin:   20 21:36:34   -22628.912929        0.0660
MDMin:   21 21:37:12   -22630.189684        0.0646
