       Step     Time          Energy         fmax
MDMin:    0 19:55:32   -21690.788327        2.0629
MDMin:    1 19:56:01   -21727.756584        1.8393
MDMin:    2 19:56:30   -21813.260670        1.0869
MDMin:    3 19:56:59   -21904.557175        0.7180
MDMin:    4 19:57:29   -21987.521561        0.8126
MDMin:    5 19:57:58   -22060.257112        1.2233
MDMin:    6 19:58:27   -22090.799669        2.0772
MDMin:    7 19:58:57   -22112.702526        1.5899
MDMin:    8 19:59:26   -22134.988225        0.5290
MDMin:    9 19:59:55   -22153.549364        0.4754
MDMin:   10 20:00:25   -22172.885816        0.4163
MDMin:   11 20:00:55   -22190.291350        0.5804
MDMin:   12 20:01:24   -22204.555360        0.4433
MDMin:   13 20:01:53   -22217.282423        0.4165
MDMin:   14 20:02:23   -22231.197327        0.4003
MDMin:   15 20:02:52   -22245.874747        0.5670
MDMin:   16 20:03:22   -22258.506345        0.6107
MDMin:   17 20:03:51   -22269.076762        0.4652
MDMin:   18 20:04:21   -22279.296602        0.3882
MDMin:   19 20:04:50   -22291.069176        0.4609
MDMin:   20 20:05:20   -22302.745046        0.6201
MDMin:   21 20:05:49   -22312.399645        0.5742
MDMin:   22 20:06:19   -22320.645618        0.3976
MDMin:   23 20:06:48   -22329.547285        0.3565
MDMin:   24 20:07:17   -22339.836761        0.4975
MDMin:   25 20:07:46   -22349.203120        0.6443
MDMin:   26 20:08:15   -22356.854505        0.5034
MDMin:   27 20:08:44   -22363.650319        0.3182
MDMin:   28 20:09:14   -22371.677427        0.3673
MDMin:   29 20:09:43   -22380.533391        0.4978
MDMin:   30 20:10:12   -22387.929732        0.6171
MDMin:   31 20:10:42   -22394.104574        0.3310
MDMin:   32 20:11:11   -22400.160307        0.2940
MDMin:   33 20:11:41   -22407.588763        0.3482
MDMin:   34 20:12:10   -22414.903793        0.5192
MDMin:   35 20:12:39   -22420.746006        0.4482
MDMin:   36 20:13:09   -22425.649967        0.2572
MDMin:   37 20:13:38   -22431.273016        0.2402
MDMin:   38 20:14:08   -22438.073971        0.3485
MDMin:   39 20:14:37   -22444.009320        0.5068
MDMin:   40 20:15:06   -22448.800336        0.3264
MDMin:   41 20:15:36   -22452.934165        0.2083
MDMin:   42 20:16:05   -22458.151386        0.2437
MDMin:   43 20:16:34   -22463.964289        0.3645
MDMin:   44 20:17:04   -22468.562016        0.4457
MDMin:   45 20:17:33   -22472.407160        0.2013
MDMin:   46 20:18:03   -22476.291526        0.1849
MDMin:   47 20:18:32   -22481.301252        0.2459
MDMin:   48 20:19:01   -22486.043256        0.3858
MDMin:   49 20:19:31   -22489.694845        0.3320
MDMin:   50 20:20:00   -22492.642485        0.1524
MDMin:   51 20:20:30   -22496.310873        0.1678
MDMin:   52 20:20:59   -22500.943141        0.2380
MDMin:   53 20:21:28   -22504.787936        0.4555
MDMin:   54 20:21:58   -22507.889809        0.2135
MDMin:   55 20:22:27   -22510.394757        0.1535
MDMin:   56 20:22:57   -22513.767076        0.1613
MDMin:   57 20:23:26   -22517.610475        0.3158
MDMin:   58 20:23:55   -22520.482537        0.3710
MDMin:   59 20:24:25   -22522.924257        0.1478
MDMin:   60 20:24:54   -22525.400952        0.1203
MDMin:   61 20:25:23   -22528.764606        0.2113
MDMin:   62 20:25:52   -22531.917039        0.3462
MDMin:   63 20:26:21   -22534.219839        0.3223
MDMin:   64 20:26:51   -22535.969414        0.0908
MDMin:   65 20:27:20   -22538.296226        0.1066
MDMin:   66 20:27:50   -22541.520668        0.1567
MDMin:   67 20:28:19   -22544.483357        0.4055
MDMin:   68 20:28:49   -22546.448655        0.2858
MDMin:   69 20:29:18   -22547.805927        0.0800
MDMin:   70 20:29:47   -22549.769887        0.0792
MDMin:   71 20:30:17   -22552.695441        0.0769
MDMin:   72 20:30:46   -22556.424877        0.1183
MDMin:   73 20:31:15   -22559.798771        0.3599
MDMin:   74 20:31:45   -22561.153690        0.4417
