       Step     Time          Energy         fmax
MDMin:    0 13:46:52    -2556.843724        2.2859
MDMin:    1 13:47:01    -2598.008713        1.3432
MDMin:    2 13:47:10    -2681.028163        1.0423
MDMin:    3 13:47:19    -2756.209651        1.7234
MDMin:    4 13:47:28    -2804.554948        8.8552
MDMin:    5 13:47:38    -2817.277886       13.7119
MDMin:    6 13:47:47    -2831.731463        3.4683
MDMin:    7 13:47:56    -2846.465200        2.4459
MDMin:    8 13:48:06    -2859.966764        2.7877
MDMin:    9 13:48:15    -2870.930520        3.7372
MDMin:   10 13:48:25    -2879.628174        2.5443
MDMin:   11 13:48:34    -2887.434648        1.8435
MDMin:   12 13:48:43    -2896.113700        2.5138
MDMin:   13 13:48:53    -2903.810174        3.7458
MDMin:   14 13:49:02    -2910.027131        2.7492
MDMin:   15 13:49:11    -2915.266485        1.4639
MDMin:   16 13:49:21    -2921.400255        1.8353
MDMin:   17 13:49:30    -2927.588596        3.1186
MDMin:   18 13:49:40    -2932.191253        3.4311
MDMin:   19 13:49:49    -2936.085194        1.0798
MDMin:   20 13:49:59    -2940.473410        1.1634
MDMin:   21 13:50:08    -2945.842231        2.3156
MDMin:   22 13:50:18    -2949.298132        4.4754
MDMin:   23 13:50:27    -2952.840905        0.9563
MDMin:   24 13:50:37    -2955.899286        0.8321
MDMin:   25 13:50:46    -2960.139487        1.7110
MDMin:   26 13:50:56    -2963.062641        4.4468
MDMin:   27 13:51:06    -2965.961686        1.6419
MDMin:   28 13:51:15    -2967.746511        0.5916
MDMin:   29 13:51:25    -2970.491413        0.9501
MDMin:   30 13:51:35    -2973.453708        2.6055
MDMin:   31 13:51:44    -2975.027727        3.3566
MDMin:   32 13:51:54    -2976.844322        0.3279
MDMin:   33 13:52:04    -2978.923436        0.4218
MDMin:   34 13:52:13    -2981.801417        1.1820
MDMin:   35 13:52:23    -2983.261176        4.3428
MDMin:   36 13:52:33    -2985.330281        1.2229
MDMin:   37 13:52:42    -2986.114399        0.2598
MDMin:   38 13:52:52    -2987.567812        0.3303
MDMin:   39 13:53:02    -2989.564853        1.0832
MDMin:   40 13:53:11    -2990.373539        3.5319
MDMin:   41 13:53:21    -2991.946031        0.6863
MDMin:   42 13:53:31    -2992.572916        0.3744
MDMin:   43 13:53:41    -2993.623436        0.7643
MDMin:   44 13:53:50    -2994.578978        2.0948
MDMin:   45 13:54:00    -2995.208043        2.0024
MDMin:   46 13:54:10    -2995.764695        0.2489
MDMin:   47 13:54:20    -2996.521815        0.3709
MDMin:   48 13:54:29    -2997.491046        1.2027
MDMin:   49 13:54:39    -2997.761431        2.7725
MDMin:   50 13:54:49    -2998.573397        0.0983
MDMin:   51 13:54:59    -2999.120398        0.0747
MDMin:   52 13:55:09    -2999.958577        0.1508
MDMin:   53 13:55:19    -3000.940387        0.7338
MDMin:   54 13:55:28    -3000.781782        2.8965
MDMin:   55 13:55:38    -3001.791281        0.3553
MDMin:   56 13:55:48    -3002.167714        0.8482
MDMin:   57 13:55:58    -3002.359843        1.2590
MDMin:   58 13:56:08    -3002.634930        0.1313
MDMin:   59 13:56:18    -3002.891328        0.1575
MDMin:   60 13:56:28    -3003.249734        0.4876
MDMin:   61 13:56:37    -3003.370024        1.4723
MDMin:   62 13:56:47    -3003.679679        0.3028
MDMin:   63 13:56:57    -3003.807688        0.2077
MDMin:   64 13:57:07    -3004.012610        0.4261
MDMin:   65 13:57:16    -3004.154682        1.0864
MDMin:   66 13:57:26    -3004.313255        0.6077
MDMin:   67 13:57:36    -3004.406554        0.0689
MDMin:   68 13:57:46    -3004.556779        0.1130
MDMin:   69 13:57:56    -3004.769672        0.4128
MDMin:   70 13:58:06    -3004.830132        1.3826
MDMin:   71 13:58:16    -3005.019559        0.3124
MDMin:   72 13:58:26    -3005.075188        0.0733
MDMin:   73 13:58:35    -3005.184404        0.1488
MDMin:   74 13:58:45    -3005.322090        0.5078
MDMin:   75 13:58:55    -3005.344620        1.1779
MDMin:   76 13:59:05    -3005.471285        0.0342
       Step     Time          Energy         fmax
MDMin:    0 22:18:15    -9439.816553        0.3744
MDMin:    1 22:18:25    -9440.131781        0.2718
MDMin:    2 22:18:36    -9440.765167        0.1321
MDMin:    3 22:18:46    -9441.394893        0.2601
MDMin:    4 22:18:56    -9441.761341        1.0546
MDMin:    5 22:19:07    -9442.012944        0.6414
MDMin:    6 22:19:17    -9442.120064        0.0771
MDMin:    7 22:19:28    -9442.292807        0.0913
MDMin:    8 22:19:38    -9442.530550        0.2925
MDMin:    9 22:19:48    -9442.665830        0.9852
MDMin:   10 22:19:58    -9442.821695        0.3891
MDMin:   11 22:20:08    -9442.885930        0.0876
MDMin:   12 22:20:18    -9442.995190        0.1752
MDMin:   13 22:20:29    -9443.125203        0.5307
MDMin:   14 22:20:39    -9443.161310        0.9861
MDMin:   15 22:20:50    -9443.266304        0.0819
MDMin:   16 22:21:00    -9443.350129        0.1352
MDMin:   17 22:21:11    -9443.452908        0.4567
MDMin:   18 22:21:20    -9443.481108        0.9527
MDMin:   19 22:21:30    -9443.564133        0.0526
MDMin:   20 22:21:40    -9443.626062        0.0778
MDMin:   21 22:21:50    -9443.704905        0.2329
MDMin:   22 22:22:00    -9443.729833        0.5382
MDMin:   23 22:22:10    -9443.793014        0.0320
       Step     Time          Energy         fmax
MDMin:    0 08:50:04    -9443.793014        0.0320
       Step     Time          Energy         fmax
MDMin:    0 11:13:13    -9443.793014        0.0320
