       Step     Time          Energy         fmax
MDMin:    0 14:43:48     -117.025871        1.9412
MDMin:    1 14:43:50     -129.692579        1.6564
MDMin:    2 14:43:52     -155.431238        1.0882
MDMin:    3 14:43:54     -174.275475        0.8134
MDMin:    4 14:43:56     -181.593678        1.9311
MDMin:    5 14:43:58     -183.698568        2.1842
MDMin:    6 14:44:00     -184.941584        1.1872
MDMin:    7 14:44:02     -186.427528        0.9283
MDMin:    8 14:44:04     -187.566870        0.8305
MDMin:    9 14:44:06     -188.570123        0.6652
MDMin:   10 14:44:08     -189.432375        0.8107
MDMin:   11 14:44:11     -190.110340        0.6687
MDMin:   12 14:44:13     -190.633754        0.5380
MDMin:   13 14:44:15     -191.097797        0.4318
MDMin:   14 14:44:17     -191.520051        0.5637
MDMin:   15 14:44:18     -191.848043        0.5281
MDMin:   16 14:44:20     -192.098810        0.3950
MDMin:   17 14:44:22     -192.320098        0.3093
MDMin:   18 14:44:24     -192.536997        0.4219
MDMin:   19 14:44:26     -192.703010        0.4573
MDMin:   20 14:44:28     -192.830021        0.2881
MDMin:   21 14:44:30     -192.939028        0.2167
MDMin:   22 14:44:32     -193.055353        0.3081
MDMin:   23 14:44:34     -193.144189        0.3936
MDMin:   24 14:44:36     -193.212758        0.2217
MDMin:   25 14:44:38     -193.267893        0.1518
MDMin:   26 14:44:40     -193.331514        0.2157
MDMin:   27 14:44:42     -193.383012        0.3202
MDMin:   28 14:44:44     -193.421704        0.2049
MDMin:   29 14:44:46     -193.450106        0.1011
MDMin:   30 14:44:48     -193.484911        0.1314
MDMin:   31 14:44:50     -193.519280        0.2258
MDMin:   32 14:44:52     -193.541037        0.2509
MDMin:   33 14:44:54     -193.558347        0.0745
MDMin:   34 14:44:56     -193.578719        0.0709
MDMin:   35 14:44:58     -193.606628        0.0654
MDMin:   36 14:45:00     -193.632510        0.2023
MDMin:   37 14:45:02     -193.639426        0.2907
MDMin:   38 14:45:04     -193.650511        0.1080
MDMin:   39 14:45:06     -193.659231        0.1446
MDMin:   40 14:45:08     -193.666454        0.0675
MDMin:   41 14:45:10     -193.672927        0.0587
MDMin:   42 14:45:12     -193.680508        0.0825
MDMin:   43 14:45:14     -193.686664        0.1266
MDMin:   44 14:45:16     -193.691680        0.0663
MDMin:   45 14:45:18     -193.695747        0.0450
       Step     Time          Energy         fmax
MDMin:    0 17:15:12     -193.695747        0.0450
