       Step     Time          Energy         fmax
MDMin:    0 17:18:24    -5911.014792        1.7021
MDMin:    1 17:18:28    -5912.876531        1.4816
MDMin:    2 17:18:32    -5916.470099        0.7328
MDMin:    3 17:18:36    -5919.242550        0.4335
MDMin:    4 17:18:41    -5920.360070        0.9773
MDMin:    5 17:18:45    -5920.979641        0.2578
MDMin:    6 17:18:49    -5921.253026        0.2187
MDMin:    7 17:18:53    -5921.548281        0.2408
MDMin:    8 17:18:57    -5921.702689        0.5397
MDMin:    9 17:19:01    -5921.838080        0.0955
MDMin:   10 17:19:06    -5921.939493        0.0919
MDMin:   11 17:19:10    -5922.067048        0.0802
MDMin:   12 17:19:14    -5922.185888        0.0936
MDMin:   13 17:19:18    -5922.199247        0.2704
MDMin:   14 17:19:22    -5922.250263        0.1263
MDMin:   15 17:19:26    -5922.273052        0.1074
MDMin:   16 17:19:30    -5922.288185        0.0623
MDMin:   17 17:19:34    -5922.305415        0.0838
MDMin:   18 17:19:38    -5922.319125        0.0589
MDMin:   19 17:19:42    -5922.330756        0.0781
MDMin:   20 17:19:46    -5922.340767        0.0553
MDMin:   21 17:19:50    -5922.349159        0.0725
MDMin:   22 17:19:54    -5922.356250        0.0459
       Step     Time          Energy         fmax
MDMin:    0 17:54:02    -5922.356250        0.0459
       Step     Time          Energy         fmax
MDMin:    0 14:03:01     6376.687176        0.5197
MDMin:    1 14:03:04     6376.364374        0.3986
MDMin:    2 14:03:07     6375.590000        0.1908
MDMin:    3 14:03:10     6374.632112        0.1761
MDMin:    4 14:03:13     6373.722313        0.3573
MDMin:    5 14:03:16     6373.551386        0.8208
MDMin:    6 14:03:19     6373.168559        0.3303
MDMin:    7 14:03:22     6372.992325        0.4622
MDMin:    8 14:03:25     6372.879244        0.2379
MDMin:    9 14:03:28     6372.744532        0.1463
MDMin:   10 14:03:31     6372.634443        0.1736
MDMin:   11 14:03:34     6372.537145        0.1211
MDMin:   12 14:03:37     6372.453745        0.1708
MDMin:   13 14:03:40     6372.386908        0.1094
MDMin:   14 14:03:43     6372.332082        0.1199
MDMin:   15 14:03:46     6372.282512        0.0821
MDMin:   16 14:03:49     6372.238212        0.1217
MDMin:   17 14:03:52     6372.202849        0.0821
MDMin:   18 14:03:55     6372.174621        0.0849
MDMin:   19 14:03:58     6372.149171        0.0551
MDMin:   20 14:04:01     6372.125157        0.0854
MDMin:   21 14:04:04     6372.105929        0.0633
MDMin:   22 14:04:07     6372.091057        0.0622
MDMin:   23 14:04:10     6372.078116        0.0368
       Step     Time          Energy         fmax
MDMin:    0 14:37:59     6372.078116        0.0368
