       Step     Time          Energy         fmax
MDMin:    0 17:20:32   -18203.735762        2.1013
MDMin:    1 17:20:44   -18211.398973        1.9359
MDMin:    2 17:20:56   -18229.628698        1.4087
MDMin:    3 17:21:07   -18251.108472        0.9304
MDMin:    4 17:21:19   -18272.864727        0.6564
MDMin:    5 17:21:31   -18293.489040        1.1966
MDMin:    6 17:21:43   -18296.592094        4.3757
MDMin:    7 17:21:54   -18307.735410        1.8130
MDMin:    8 17:22:06   -18311.798816        2.2968
MDMin:    9 17:22:17   -18315.086405        1.0419
MDMin:   10 17:22:29   -18318.817410        1.1678
MDMin:   11 17:22:41   -18322.165021        0.9278
MDMin:   12 17:22:53   -18325.360087        1.0771
MDMin:   13 17:23:05   -18328.430369        0.9650
MDMin:   14 17:23:17   -18331.230118        1.0998
MDMin:   15 17:23:30   -18333.808549        0.8412
MDMin:   16 17:23:41   -18336.287423        0.9338
MDMin:   17 17:23:54   -18338.729306        0.8542
MDMin:   18 17:24:06   -18340.988567        0.9974
MDMin:   19 17:24:18   -18343.050723        0.7785
MDMin:   20 17:24:30   -18345.003055        0.8162
MDMin:   21 17:24:41   -18346.950206        0.7500
MDMin:   22 17:24:54   -18348.787643        0.8952
MDMin:   23 17:25:06   -18350.455735        0.7309
MDMin:   24 17:25:18   -18352.003151        0.7244
MDMin:   25 17:25:30   -18353.546966        0.6545
MDMin:   26 17:25:42   -18355.041025        0.7909
MDMin:   27 17:25:54   -18356.398394        0.6894
MDMin:   28 17:26:06   -18357.633591        0.6532
MDMin:   29 17:26:18   -18358.850053        0.5703
MDMin:   30 17:26:30   -18360.058572        0.6876
MDMin:   31 17:26:41   -18361.166672        0.6456
MDMin:   32 17:26:53   -18362.160068        0.5992
MDMin:   33 17:27:05   -18363.115219        0.4990
MDMin:   34 17:27:18   -18364.083944        0.5896
MDMin:   35 17:27:30   -18364.990166        0.5941
MDMin:   36 17:27:42   -18365.793980        0.5588
MDMin:   37 17:27:54   -18366.544706        0.4405
MDMin:   38 17:28:06   -18367.312752        0.5003
MDMin:   39 17:28:18   -18368.054171        0.5344
MDMin:   40 17:28:30   -18368.707235        0.5272
MDMin:   41 17:28:42   -18369.301097        0.3933
MDMin:   42 17:28:54   -18369.903871        0.4223
MDMin:   43 17:29:06   -18370.509004        0.4697
MDMin:   44 17:29:18   -18371.041235        0.4973
MDMin:   45 17:29:31   -18371.515914        0.3571
MDMin:   46 17:29:43   -18371.985429        0.3573
MDMin:   47 17:29:55   -18372.475574        0.4047
MDMin:   48 17:30:07   -18372.910913        0.4622
MDMin:   49 17:30:19   -18373.294094        0.3327
MDMin:   50 17:30:31   -18373.658373        0.3052
MDMin:   51 17:30:43   -18374.049918        0.3424
MDMin:   52 17:30:55   -18374.407770        0.4180
MDMin:   53 17:31:07   -18374.718734        0.3203
MDMin:   54 17:31:19   -18375.002012        0.2639
MDMin:   55 17:31:31   -18375.309686        0.2848
MDMin:   56 17:31:44   -18375.605654        0.3661
MDMin:   57 17:31:56   -18375.858489        0.3166
MDMin:   58 17:32:08   -18376.081714        0.2302
MDMin:   59 17:32:20   -18376.320295        0.2334
MDMin:   60 17:32:32   -18376.566084        0.3115
MDMin:   61 17:32:44   -18376.772303        0.3145
