       Step     Time          Energy         fmax
MDMin:    0 22:00:22     9178.739436        1.1021
MDMin:    1 22:00:24     9177.252543        0.9575
MDMin:    2 22:00:26     9174.314665        0.5424
MDMin:    3 22:00:28     9171.810033        0.2968
MDMin:    4 22:00:30     9170.456495        0.2811
MDMin:    5 22:00:32     9170.084864        0.2347
MDMin:    6 22:00:34     9169.938225        0.1265
MDMin:    7 22:00:36     9169.744530        0.1018
MDMin:    8 22:00:38     9169.582966        0.0962
MDMin:    9 22:00:40     9169.438026        0.0927
MDMin:   10 22:00:42     9169.329521        0.1082
MDMin:   11 22:00:44     9169.250421        0.0707
MDMin:   12 22:00:46     9169.182908        0.0659
MDMin:   13 22:00:48     9169.114461        0.0608
MDMin:   14 22:00:50     9169.059519        0.0789
MDMin:   15 22:00:52     9169.019745        0.0526
MDMin:   16 22:00:54     9168.988358        0.0481
       Step     Time          Energy         fmax
MDMin:    0 23:16:19     9168.988358        0.0481
       Step     Time          Energy         fmax
MDMin:    0 15:18:28     4077.611735        0.1662
MDMin:    1 15:18:30     4077.550058        0.1525
MDMin:    2 15:18:31     4077.414982        0.1180
MDMin:    3 15:18:33     4077.264392        0.0873
MDMin:    4 15:18:35     4077.133482        0.0772
MDMin:    5 15:18:36     4077.109492        0.1495
MDMin:    6 15:18:38     4077.063480        0.0862
MDMin:    7 15:18:40     4077.035498        0.0665
MDMin:    8 15:18:41     4077.022915        0.0467
       Step     Time          Energy         fmax
MDMin:    0 15:41:15     4077.022915        0.0467
